3,1,603.31,307.09,53.26,119.67,1.00,-1,-1,-1
3,2,498.77,306.16,32.29,83.36,1.00,-1,-1,-1
3,3,464.02,305.82,28.27,85.04,1.00,-1,-1,-1
3,4,803.26,302.44,46.22,118.81,1.00,-1,-1,-1
3,5,854.79,311.68,39.38,102.73,1.00,-1,-1,-1
3,6,446.32,312.21,18.92,53.04,1.00,-1,-1,-1
3,7,292.96,307.42,36.44,87.24,1.00,-1,-1,-1
3,8,648.69,315.46,27.52,70.39,1.00,-1,-1,-1
3,10,193.74,308.57,31.83,69.86,1.00,-1,-1,-1
4,1,606.75,306.59,50.49,120.45,1.00,-1,-1,-1
4,2,499.99,306.99,31.66,82.61,1.00,-1,-1,-1
4,3,468.53,306.53,27.12,83.54,1.00,-1,-1,-1
4,4,802.96,302.43,47.40,118.91,1.00,-1,-1,-1
4,5,853.98,311.54,40.43,103.09,1.00,-1,-1,-1
4,6,446.32,311.99,18.97,53.33,1.00,-1,-1,-1
4,7,294.15,307.93,34.07,86.53,1.00,-1,-1,-1
4,8,649.13,315.44,27.28,69.48,1.00,-1,-1,-1
4,10,194.27,309.59,30.95,66.99,1.00,-1,-1,-1
4,13,1193.28,312.46,76.72,191.71,1.00,-1,-1,-1
5,1,610.18,306.83,47.84,120.26,1.00,-1,-1,-1
5,2,500.21,306.61,31.60,83.28,1.00,-1,-1,-1
5,3,468.43,306.78,27.28,83.19,1.00,-1,-1,-1
5,4,802.64,302.52,47.84,118.79,1.00,-1,-1,-1
5,5,853.75,311.50,40.46,103.37,1.00,-1,-1,-1
5,6,446.12,311.87,19.06,53.22,1.00,-1,-1,-1
5,7,294.67,306.06,34.35,90.57,1.00,-1,-1,-1
5,8,648.77,315.23,28.33,72.03,1.00,-1,-1,-1
5,10,195.08,310.02,29.93,64.13,1.00,-1,-1,-1
5,13,1195.30,312.34,76.09,192.47,1.00,-1,-1,-1
6,1,614.05,306.83,45.42,120.19,1.00,-1,-1,-1
6,2,500.85,306.69,31.40,83.28,1.00,-1,-1,-1
6,3,465.67,307.02,29.07,84.41,1.00,-1,-1,-1
6,4,802.91,302.01,48.42,119.18,1.00,-1,-1,-1
6,5,854.25,311.24,39.79,103.61,1.00,-1,-1,-1
6,6,445.96,311.77,19.18,53.45,1.00,-1,-1,-1
6,7,296.12,306.01,32.97,88.72,1.00,-1,-1,-1
6,8,648.94,315.00,28.32,71.91,1.00,-1,-1,-1
6,10,195.50,310.33,29.62,63.43,1.00,-1,-1,-1
6,13,1197.31,309.20,77.03,195.24,1.00,-1,-1,-1
6,15,555.72,325.56,48.22,60.62,1.00,-1,-1,-1
6,16,156.29,308.62,19.40,47.68,1.00,-1,-1,-1
7,1,619.74,305.79,41.98,121.24,1.00,-1,-1,-1
7,2,501.94,306.41,30.89,82.64,1.00,-1,-1,-1
7,3,468.92,307.12,28.37,84.56,1.00,-1,-1,-1
7,4,802.75,302.10,48.66,119.15,1.00,-1,-1,-1
7,5,854.24,311.67,39.38,103.07,1.00,-1,-1,-1
7,6,445.98,311.98,19.13,53.21,1.00,-1,-1,-1
7,7,297.25,305.83,32.86,88.57,1.00,-1,-1,-1
7,8,649.11,314.94,28.43,72.17,1.00,-1,-1,-1
7,10,198.78,311.10,27.32,60.63,1.00,-1,-1,-1
7,13,1201.00,307.59,76.58,197.15,1.00,-1,-1,-1
7,15,555.86,325.54,48.13,60.75,1.00,-1,-1,-1
7,16,156.43,308.66,19.09,47.27,1.00,-1,-1,-1
8,1,623.45,305.54,39.42,121.56,1.00,-1,-1,-1
8,2,502.33,306.71,30.85,82.44,1.00,-1,-1,-1
8,3,470.57,307.10,27.61,84.82,1.00,-1,-1,-1
8,4,803.17,302.12,49.09,119.18,1.00,-1,-1,-1
8,5,854.17,311.31,39.79,103.62,1.00,-1,-1,-1
8,6,445.90,312.07,18.98,53.41,1.00,-1,-1,-1
8,7,298.01,306.03,33.05,87.90,1.00,-1,-1,-1
8,10,199.63,310.94,26.37,59.96,1.00,-1,-1,-1
8,13,1205.08,305.64,75.41,199.14,1.00,-1,-1,-1
8,15,555.94,325.51,47.79,60.70,1.00,-1,-1,-1
8,16,156.17,308.53,18.97,47.50,1.00,-1,-1,-1
8,18,727.91,334.16,53.19,72.88,1.00,-1,-1,-1
9,1,628.30,304.28,38.40,121.92,1.00,-1,-1,-1
9,2,502.73,307.23,30.71,82.21,1.00,-1,-1,-1
9,3,470.06,307.75,27.55,84.29,1.00,-1,-1,-1
9,4,803.11,302.25,49.14,119.26,1.00,-1,-1,-1
