Time,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7
58,-0.0721274,-5.1531825,-3.9383388,-3.191271,-7.786971,-6.8299394,-6.3709555
59,-0.07177883,-5.1567397,-3.9467793,-3.1938508,-7.798341,-6.839357,-6.3823256
60,-0.07109614,-5.165823,-3.9597683,-3.2009804,-7.813284,-6.8503923,-6.397268
61,-0.07062703,-5.1731663,-3.971018,-3.2044175,-7.826486,-6.861642,-6.4124236
62,-0.07020442,-5.181533,-3.9798727,-3.2079008,-7.8416886,-6.872938,-6.4256735
63,-0.069314085,-5.200174,-3.9902124,-3.2197058,-7.864236,-6.8935323,-6.444314
64,-0.06914883,-5.2175875,-3.9856527,-3.2229583,-7.8699303,-6.9050856,-6.4441485
65,-0.0688382,-5.2231364,-3.9824126,-3.229972,-7.877432,-6.926259,-6.455557
66,-0.06816817,-5.235162,-3.9924846,-3.2380908,-7.890434,-6.9470744,-6.474418
67,-0.06762179,-5.248288,-4.0026803,-3.2434034,-7.903559,-6.9660587,-6.4894967
68,-0.06728519,-5.2557645,-4.0104003,-3.2459967,-7.9149413,-6.9793944,-6.500879
69,-0.066736676,-5.26791,-4.0193734,-3.252284,-7.9261117,-6.998377,-6.5159554
70,-0.06621846,-5.2810636,-4.0266676,-3.2586017,-7.9373126,-7.0173903,-6.531062
71,-0.06599171,-5.2896256,-4.030591,-3.2603278,-7.948805,-7.030835,-6.5425544
72,-0.065482914,-5.3018117,-4.041801,-3.264702,-7.9658737,-7.049858,-6.5615773
73,-0.06504358,-5.304302,-4.0489297,-3.2710984,-7.9732475,-7.061137,-6.5748096
74,-0.06466365,-5.310758,-4.055386,-3.2756014,-7.9865394,-7.076382,-6.5920086
75,-0.06454259,-5.3116136,-4.060392,-3.27548,-7.996185,-7.086027,-6.6036067
76,-0.0641699,-5.3161235,-4.0697846,-3.2790139,-8.009484,-7.09542,-6.6188593
77,-0.06359241,-5.326288,-4.080438,-3.2862487,-8.026485,-7.1124206,-6.6339073
78,-0.06335927,-5.334844,-4.0858197,-3.2879686,-8.037971,-7.12,-6.6434402
79,-0.06306453,-5.343338,-4.090652,-3.2915802,-8.047441,-7.1294703,-6.650957
80,-0.06289828,-5.350984,-4.093171,-3.293367,-8.053134,-7.135164,-6.654697
81,-0.06255863,-5.3604107,-4.0982027,-3.29791,-8.06256,-7.1445894,-6.664122
82,-0.06228118,-5.364039,-4.1037846,-3.301539,-8.068142,-7.152125,-6.6716576
83,-0.061777256,-5.375254,-4.108896,-3.3098242,-8.079356,-7.1691995,-6.684825
84,-0.061970837,-5.3744707,-4.1061597,-3.3061113,-8.081503,-7.1713457,-6.6850185
85,-0.061876163,-5.3733997,-4.107286,-3.3079698,-8.085315,-7.173204,-6.68883
86,-0.06181143,-5.373335,-4.1081977,-3.3088818,-8.089156,-7.178999,-6.6946244
87,-0.06158142,-5.3770113,-4.1130943,-3.3115816,-8.098691,-7.1865816,-6.70416
88,-0.06123011,-5.3844724,-4.120067,-3.3161128,-8.108105,-7.1940427,-6.7116213
89,-0.061092734,-5.391171,-4.1213946,-3.3179286,-8.115781,-7.1997647,-6.7153897
90,-0.06068497,-5.398576,-4.129532,-3.3233802,-8.127091,-7.2091227,-6.724748
91,-0.060431037,-5.4071107,-4.13294,-3.3270326,-8.13465,-7.2166815,-6.7303534
92,-0.06033442,-5.415803,-4.135773,-3.326936,-8.142365,-7.2243967,-6.7322097
93,-0.06018356,-5.425418,-4.1331806,-3.330691,-8.146121,-7.232059,-6.7320585
94,-0.059750985,-5.4337745,-4.132504,-3.3410008,-8.151547,-7.2413917,-6.7374854
95,-0.059368562,-5.4538994,-4.130901,-3.3494074,-8.157024,-7.246869,-6.73515
96,-0.058652703,-5.4766207,-4.1377535,-3.3623633,-8.171934,-7.2598248,-6.7383404
97,-0.058309935,-5.496786,-4.136678,-3.369833,-8.17745,-7.263389,-6.734091
98,-0.057678927,-5.5195923,-4.1416626,-3.3818977,-8.188539,-7.2725234,-6.7354136
99,-0.056995317,-5.5374627,-4.148303,-3.395862,-8.191761,-7.279653,-6.7288704
100,-0.056081656,-5.559988,-4.155934,-3.415456,-8.200612,-7.2924113,-6.7240505
101,-0.055115424,-5.57367,-4.1683965,-3.4359744,-8.201599,-7.301211,-6.719178
102,-0.054247156,-5.594286,-4.1777825,-3.4546366,-8.208544,-7.3140154,-6.7144036
103,-0.053414844,-5.6149383,-4.1898894,-3.4713836,-8.215524,-7.3249025,-6.7096653
